Dongying City,Dongying,2846259,1997582,773266,153645,69581,18772,312101,74351,311978,37983,17284,103835,124786,848677,274025,67785,87738,0,354958,64171
Yantai City,Yantai,6738683,4722248,1665073,654893,340243,268784,243336,219748,383142,427273,48877,264218,206661,2016435,232480,111124,125493,11329,1470915,65094
Weifang City,Weifang,6083166,3941123,1627850,454003,141682,62715,318054,183144,327764,185371,36186,379179,225175,2142043,280855,278993,207168,54176,1271729,49122
Jining City,Jining,4750066,3236286,1164679,471614,94428,292899,146838,132110,182446,131851,135197,345991,138233,1513780,263243,164483,173986,154,850223,61691
Tai'an City,Tai'an,2392392,1792271,809396,183766,64160,81128,111936,72781,95429,129151,38710,126919,78895,600121,96773,106457,89149,0,267992,39750
Weihai City,Weihai,2373823,1691389,669988,232349,130057,9874,97330,98945,147101,37276,19206,178115,71148,682434,95322,79380,68081,96868,313052,29731
Rizhao City,Rizhao,1953369,1303663,529815,178198,30575,25523,67198,61338,86052,56800,40950,113997,113217,649706,66273,63044,115413,53770,331532,19674
Linyi City,Linyi,4457688,3288726,1299732,271670,95077,75426,153187,156498,207146,422336,99583,296566,211505,1168962,151091,143891,261922,33715,518028,60315
Dezhou City,Dezhou,2506002,1746510,723538,185188,51586,19753,87391,71912,111305,140825,52115,205009,97888,759492,88768,60983,142780,1521,430627,34813
Liaocheng City,Liaocheng,2446182,1540102,665625,207504,45636,22134,80548,57559,77725,123012,17765,136458,106136,906080,92401,177460,122448,3847,467693,42231
Binzhou City,Binzhou,2921365,1918294,782399,186047,50789,22904,131376,84294,240150,89761,29793,164154,136627,1003071,124127,253555,228733,22,362544,34090
Heze City,Heze,3165081,2049995,795244,266539,47750,107071,107943,63445,179363,113020,49756,197491,122373,1115086,270650,153632,176914,107712,357746,48432
